titl,push,tag,text,date
[問題] 樂天現金回饋,0,,"









我是從第一張圖的活動開始
才知到樂天現金回饋combo這麼威
這2個月也刷了不少……
好不容易盼到第一個回饋的日期921
可是怎麼沒有看到？
還是說要出帳單時才會出現？
以上煩請前輩解惑
萬分感謝！！

--
",10月2日
[心得] 聯邦 理財型白金/法拉利無限卡 核卡,14,,"

本身持有信用卡年資約10年，目前年薪約50萬

曾經在聯邦理財型白金每月回饋500的年代已申請過一次，

持續使用到月回饋縮水為450之後就剪卡了。

目前額度最高的卡片是 玉山白金卡20萬

目前沒有任何無限卡或世界卡，有張上海的極緻卡但是額度只有10萬

前年以及去年陸續申請中信學學鼎級無限卡三、四次都被打槍=""=

後來也死了心不想挑戰頂級卡

前陣子看到版友提到聯邦大套牢，好奇之下爬文發現這張是無限卡

衝著無限卡、拖吊及刷卡金回饋這些，心一橫再申請一次吧。

也順便申請了理財型白金卡。

=========================================================

10/01 線上申請理財型白金/法拉利無限卡

      附上Line Pay卡號 (應該是要查詢刷卡金額或是檢查

      信用紀錄的用途吧！？)

      以及少少的50萬扣憑...

10/11 專員來電確認是否有申請，並且告知

      法拉力無限卡需要的額度較高，我的財力證明可能不夠。

      但還是請專員幫忙送件了。

10/13 線上查詢進度顯示理財型白金需要補拍身分證

      當天就補拍並上傳。

10/16 線上查詢顯示法拉利無限卡需要補拍身分證...

      拿10/13的檔案再度上傳...

10/20 收到卡片已寄出簡訊。

10/23 收到卡片，額度20萬。

=========================================================

雖然額度沒有30萬但是辦下來第一張無限卡還是很是開心

謝謝卡版惠我良多~~~

--


謝謝大家

申請到收到卡片真得等超久的，不過中間卡著雙十連假，也不能太苛責

其實我也是覺得有點被放水的成分

可能是名稱好聽(偽公務員)

可能是信用還不錯(卡費&信用貸款皆按時繳款)

可能徵審人員放完假心情不錯(誤)

發文也是希望能讓大家在辦卡時作為參考。

再次謝謝卡版^^
",10月23日
Re: [問題] pchome刷卡金疑問,1,,"

先上圖







網頁的圖片裡面是1.5萬送1000

活動登錄(含App、line)頁面的文字敘述是滿1.5萬送600

要參加全月活動的得注意一下 跟客服確認到是""600""而已



--
", 9/01
[心得] 澳盛現金回饋御璽卡 核卡,5,,"

[職業類別] : 工程類業務助理

[工作年資] : 此份工作1年半

[年齡] : 28

[年收入] : 填550K

[提供之財力證明] : Richart帳戶明細約460K+三個月薪轉

[是否貸款] : 無

[三個月內有無辦卡] :無

[核卡額度] : 65K

[已持有信用卡] :

台新   新光聯名御璽、黑狗iCash  160K
華南   超級現金御璽、晶緻       160K
花旗   透明白金                 123K
國泰   Costco聯名白金           120K
富邦   數位生活御璽             120K


[申辦過程]：

平常很少消費超過5000
趁著澳盛收攤以前來辦，充當一年無腦卡玩玩

9/13  線上填寫完申請書
9/20  電話照會
9/21  簡訊通知核卡
9/25  收到卡片


送出申請書到電話照會  隔！超！久！
網頁都顯示沒有遞送申請
直到照會前一天才改為有收到

額度有點失望 (幾乎是剛出社會時申請的額度)
卡片質感倒是不錯


接下來預計申請元大鑽金or匯豐現金回饋
因應年底日本遊使用

可惜華南現金回饋JCB的2.88已經不復在
當年可是卯起來刷呀(遠目)

--
", 9/25
[問題] 樂天分期回饋,5,,"


樂天信用卡最近推出申請分期付款就能獲得2%還3%的回饋，我以為是“分期零利率”，想說就申請分期來賺回饋好了，結果發現樂天的分期利率竟然高達7%～7%～7%,嚇的我趕快關掉申請頁面。

想詢問如果要用分期利率的7%來賺2~3%的回饋，不是一定虧死嗎？這樣有誰願意申請分期付款方式呢？

-----
Sent from JPTT on my Motorola Moto G (5) Plus.

--
", 9/17
[心得] 花旗現金回饋 小白核卡,7,,"

[職業類別]：軍公教

[工作年資]：1年9個月

[年齡]：23

[年收入]：350K

[提供之財力證明]：近3個月薪資單

[有無貸款]：否

[已持有信用卡額度]：無

[近三個月申請]：無

[申請卡別]：花旗 現金回饋悠遊白金卡

[核卡額度]：119K

[核卡過程]

8/19 網路線上辦卡

8/21 專員致電核對資料

8/22 回傳簽名並送審

8/31 收到核卡通過簡訊

9/01 收到信用卡掛號

[心得]

第一次辦信用卡真的好緊張

超怕他打電話來我回答不好

但我覺得專員致電態度超級不誠懇欸

電話中有時親切有時又很不耐煩

我問問題你跟我講刷卡多優惠是幹嘛

你們網站都有我也會自己查...

就說目前要紙本帳單還逼我用電子帳單

我想下年度再免年費不行嗎QQ

當初申請也取消代繳電信費

你還自動幫我勾選真的好貼心= =

再來網路申請很多不合理的地方

沒有白金卡選項只好手抖勾選御璽卡...

專員還說怕我不會過所以改申請白金卡

嗯...呵呵真的很謝謝專員呢！

還有說什麼工作未滿6個月要填前任職單位

阿如果這是第一份工作就不能申請了逆

由於我工讀轉正職未滿6個月的緣故

所以只好兩個都寫同單位...

專員還問我怎麼會寫這樣

我才要問你們系統怎麼會這樣= =

原本我寫服務業後來也被改成軍公教

因為薪資單抬頭是政府機關名字

總之整個過程算有驚無險的核過了

後來才知道119K這額度不低啊...

拿來當悠遊卡刷超怕弄丟被刷爆><

接下來要刷滿2000過任務了

還要拿來用三爽PAY和看威秀^^

--

但就覺得信用卡太常拿出來用好危險(抖)

哈哈對欸 自動儲值500蠻恐怖的！！！

謝謝 不過我也刷不了那麼多啦XD

是沒錯 但我其實不想額度那麼高啊QQ

可惡 我的專員好爛...她姓羅哈哈

好好喔～我也希望能聊天比較自在嗚嗚嗚

沒關係 能核卡就很感謝:3

出國不敢刷...還在苦惱2000刷什麼XD
", 9/02
[心得]元大M鑽金iCash2.0聯名卡,0,,"

[申請卡別]元大鑽金M(iCash聯名)
[職業類別]職業軍人
 ?目前工作年資?13年
 ?年齡?34
 ?年收入?填600K
[提供財力證明]106/7 106/8 兩個月薪轉單
 ?是否貸款?無
 ?三個月內?無申請過
 ?核卡額度?鈦金120K
[他行信用卡]
?中信悠遊聯名普卡V?額度20K
          這張是出社會時辦的，至今不讓我調額及升等，辦了元大後準備剪卡
?花旗紅利回饋白金V?額度162K
          這張主要大賣場三倍點+網路購物36期使用，偶爾去威秀享受六折優惠
?玉山白金J?額度120K
          這張主要出國及網路購物36期使用
?VISA金融卡?郵局 合庫
[辦卡進度]
9/15(五)到分行申請
9/19(二)查詢進度顯示收件
9/21(四)照會，但僅補些詳細個人資料
9/25(一)查詢進度已核卡，並收到簡訊核卡通知
9/28(四)收到簡訊寄送通知
9/29(五)收到卡片


?心得?
其實真的如行員說的大概要兩周時間
不像版上部分版友那麼的迅速核卡
雖然一年出國至少兩次
不過幾乎都是現金不太使用刷卡付費
辦這張主要就是日亞及PSN等網路消費
以及iCash2.0優惠啦~~

--
", 9/29
Re: [問題] 符合樂天餐廳活動的平價餐廳?,17,,"



  這網站就是國旅卡的特約商店查詢網站啊

  這網站用途是給公務員刷國旅卡查詢刷的地方是否是特約商店，從而得以請領補助

  所以很多店家你是在那網頁查不到的




  回到正題，樂天的部分

  上禮拜週末我先去信義區的一蘭拉麵刷了樂天

  又跑去蘋果直營刷了一隻iphone8+

  回來爬了一下文  又看了一下簽單

  實在不太能確定樂天是否認列一蘭拉麵是餐飲業

  簽單上無法看出是否確實是餐飲業

  就打去客服問

  客服說原則上不是飯店、百貨公司美食街、KTV等處所，而有獨立門牌、刷卡機的餐飲

  應該都算是樂天可以認列的

  但是還是要等入帳了才能確認



  到剛剛我去樂天官網看  我週末的消費都還沒有入帳

  所以最保險的作法應該是入帳後再詢問客服是否符合資格

  以上

--


  可是我問的客服他說他也不知道我刷的店家是不是樂天認列的餐飲業
  他說要等到入帳以後才知道

  囧
  看來不同客服給的答案不一樣
", 9/25
[情報] 【樂天全額刷卡金回饋】不限金額享1.25%,24,,"

活動名稱
【樂天全額刷卡金回饋】不限金額享 1.25%

活動期間
2017年10月20日 ~2017年11月30日


1. 本活動期間內，正、附卡持有人於國內刷卡一般消費合併計算，
   即可獲得刷卡金回饋資格。(國內刷卡一般交易認定詳見活動注意事項)

2. 活動期間新增之一般刷卡金額(排除餐廳消費)加總後1.25%刷卡金回饋。
   刷卡金以回饋至正卡人帳戶為準，每戶僅回饋乙次，回饋金額無上限。

3. 活動消費交易以本公司帳單列示消費日及金額為準，且需於2017/12/16前完成入帳。

4. 刷卡金回饋將於2018年2月7日統一回饋至正卡人樂天信用卡帳戶後於帳單揭露。

5. 本活動刷卡金將直接折抵信用卡消費帳款，不得折換現金
   兌換其他商品或轉讓予第三人。

6. 提醒您 欲享有餐廳消費回饋，請詳見
   《【美食冒險王】探索美食大陸 天天3%回饋不停歇》活動注意事項。


--
",10月20日
[問題] 酷玩卡的免費電影票,0,,"


請問下不久前辦了張中信的酷玩卡
在選新戶好禮時選的是電影票
結果這幾天在code go上只有拿到一張而已
不是應該是兩張嗎？
還是說那個序號能重複用兩次？
有人也有遇過這個問題的嗎
-----
Sent from JPTT on my iPhone

--
",11月7日
[閒聊] 永豐以為已過期的抵用金竟然入帳了,2,,"

之前參加永豐品生活4-6月的,有送母親節加碼回饋金,一共是152元
但一直沒用到

因有限定要品生活活動規定的商店
需在9/30以前使用完成
想說那我去博客來買本書來看好了,但一直沒時間買

一直拖到了9/30日最後一天才刷,但博客來10/3才請款入帳
有看版友推文說若此活動入帳日超過期限就GG了

確實10月收到帳單，也寫152元已超過期限,歸0元,
本想說算了，是我自己拖到最後一天才買

沒想到今天查網銀,發現152元被扣掉了
那還不錯耶，都不用去煩客服，自動回補了



還有9月份P購登錄時我排到一百七十幾名，沒在2萬送1500的安全名單內
但想說就跟他賭了，於是月初就用永豐刷了儲值金2萬元,至少有送800加碼金
9月下旬看到永豐寫2萬送1500的已額滿,但我覺得一定有退貨的人,總之就是賭一下

今天就看到1500元入帳了，看來是賭對了，不過永豐10月以後已經修改活動規則
看來是不會後補的樣子

--
",11月3日
"[問題] 刷AGODA,看得出來是刷住宿還是機票嗎",19,,"

要使用機場貴賓室權益,必須要有買機票紀錄
機票八個月前就已經買了

AGODA也有賣機票
如果是使用AGODA訂房刷卡~
明細會顯示住宿訂房,還是買機票嗎??
還是說銀行看不到,是買機票還是住宿?

--
",10月3日
[心得] 台新@GOGO悠遊御璽卡 核卡,6,,"

(代友貼文)

[申請卡別]：台新@gogo悠遊御璽卡

[職業類別]：政府外包駐點人員

[年齡]：24

[工作年資]：1個月

[年收入]：填寫 350K

[提供之財力證明]：人事薪轉通知電郵(台新薪轉戶)

[有無貸款]：無

[已持有信用卡額度]：永豐保倍卡 20K 學生卡

[近三個月申請]：無

[核卡額度]：30K

[核卡過程]：

9/17 Richart帳戶申請＋@GOGO卡申請
9/18 帳戶審核通過
9/20 @GOGO卡審核通過＋收到你好棒簡訊
9/25 收到@GOGO卡

[心得]
原本朋友想說應該可以有個五萬之類的
結果核出來只有三萬XDDD

是因為有張學生卡的關係嗎？

--

Sent from my SO-03H

私は空に?をした。

--





不清楚耶，狀態更新好像都比較慢，可以進線客服詢問

不能那樣說吧，簽帳卡怎麼刷都是自己的錢

那是三商還有跟永豐合作的時候就辦的，當時還是大學生



免卡分期超貴的…… 如果可以刷卡分期買家具或是家電壓力比較小
", 9/26
Re: [情報] ANZ澳盛銀行飛行積金兌比例延至1060930,6,,"




          ANZ默默地把原兌換比例延長到今年年底(12/31)了

          其實他保險可以有紅利里程回饋算是很不錯的了

          可以再晚點剪卡了~~~~~~


--
", 9/26
Re: [閒聊] 新光 魔法少女每月刷卡禮活動,3,,"

還是照慣例來解這個月的小帕任務，果真集滿一套 (海報)...

總之有卡的路過新光銀就進去領吧～





(是說總覺得這張綠色小帕的人物比例有點怪怪的？)

有種剩下兩個月也是海報的預感...但版面是可以期待一下啦。

--
",10月6日
[問題] booking訂房，被預收款,51,,"

板友好

想請問，目前在booking. com訂了國外房間，可退款的(明年二月前可退)。

結果上上禮拜收到被刷卡簡訊，一開始爬文有提到有些飯店會預扣款但不會請款。

但今天看帳單已經有這筆請款。

這樣這筆兩萬多的款項等於被提早半年拿走。

我是用line pay刷，致電中信如果要刷退，我需要自付""刷卡""國外手續費1.5%，他們會付
國外""刷退""手續費。

致電booking. com 他說有些飯店會這樣作，不是他們可控制，且條文有寫。但我剛用app
嘗試訂房卻完全沒提到。

以下想請問

1.我該怎麼避免這事再發生，我如果當下收到預刷時直接退掉，我還是需要自己賠1.5%嗎
？

2.我知道元大鑽金可以退國外手續費。那請問花旗寰旅可以退嗎？因為我問中信，他說vi
sa/mastercard/jcb

謝謝

--
", 8/24
Re: [問題] 刷卡的旅平險及自己買的旅平險,4,,"




這裡提供一下自己出國買旅平險的配置與經驗(這邊只說附加的旅遊不便險部分)
通常我個人都是搭LCC航空居多，所以我大多會這樣買保險
以下提到的保險公司沒有要替他們打廣告的意思，請自行斟酌所需

1.信用卡送的旅遊不便險
基本上都是實核實銷，比較適合用在真的有什?狀況要DELAY一天的時候，可以用來訂
住宿跟飯錢以及後續交通費用

2.可以直接買交通票卷實支實付的旅遊不便險(通常我都買富邦產險)
因為我是上班族，通常請假都是剛剛好出國用，如果有什?DELAY的狀況，LCC航空就算
隔天恢復運輸，也不一定能保證可以排得上飛機，所以這時候如果有可以買機票實支實
付的保險，就可以趕快找還有飛的航空公司買機位，用最快的速度飛回來

3.固定賠償的旅行不便險(通常我都買國泰產險)
通常上班族如果要額外請假或者事假，會有扣薪的問題，所以這個固定賠償的金額，多多
少少可以平衡一下這個會被扣薪的問題

以上有些保險公司申請理賠不需要相關文件的正本，所以同時多家理賠是沒有問題的，
但基本上還是要看清楚規定。

出國到現在都還沒遇過可以使用這些保險的情況，但基本上我一定會買，因為保險就是降
低自己的風險，萬一有什?狀況飛機不飛，在櫃檯跟地勤吵架是沒用der，還不如趕快看
一下自己保額有多少，趕快訂個好一點的飯店來平衡一下

個人唯一用到一次旅遊不便險的機會是多年前去馬祖，那次回程被關島關了二天，還好第
三天天氣總算變好可以回程。那次剛好帶了三位朋友一起去，還有我跟另外一位朋友的信
用卡旅遊不便險夠給力，額外二天的住宿與飯錢都可以申請保險，不然的話，實在會很嘔
，因為被關島的時候，也沒有心情再去玩，每天都是在機場等飛機起飛...

最後提醒一下，保險不是有保就算了，也不是聽別人說說就算了，最好還是要花點時間
看一下保障的內容以及範圍，以免買了一堆保險，結果到時候要理賠時，會被一堆規定
所刁難。

--
", 9/27
[問題] 日區APP(iTunes)Store可以刷的JCB悠遊,4,,"

我想找一張Apple iphone日區APP (iTunes)Store可以刷的卡，因為有在mobile01、iphone版、google大神等爬過許多文，很多JCB卡，在下列兩個情況會失敗：
1.APPLE ID透過JCB轉區到日區。
2.用日區APPLE ID購買日遊或購買日遊遊戲道具。

有聽說樂天信用卡最保險，也有聽過華南也沒問題等，但還是會有人過不了，爬的文章有些時間也久遠，所以想在這在詢問看看，順變更新這類資訊，如果各位大大還是認為我沒做足功課就提問，我會反省在看是否要下掉文章或是修改文章。

我個人是想根據幾個條件找這張JCB卡，至於想要悠遊聯名是因為想順便當作交通卡，看看搶不搶的到10%。

1.Apple轉日區JCB信用卡驗證可以過。(很重要)
2.APP store 日遊、日遊虛寶能夠購買。(很重要)
3.年費。希望門檻很低或條件終身免。
4.現金回饋消費優惠。
5.JCB悠遊卡10%搶登。想做通勤的交通卡用途。

麻煩各位大大，幫忙提供意見，有任何問題我會改進。

--
", 8/16
[情報] 永豐嚴重縮水且遊戲規則更改,6,,"

永豐從本月開始
奇摩購物,奇摩商城奇摩拍賣的活動

與momo購物,森森,東森購物的活動
以及pchome購物的活動

已經變成共用名額



不但刷卡金縮水到只剩一千(且滿2萬才有)

還有限制，只能參加一個活動

本來2萬送一千就已經比別家弱了，沒想到還多了共享名額的規定

印像中九月以前沒有看到有限制
是這個月開始更改的,也不早點通知

害我浪費時間搶月初半夜搶登記，早知道去搶國泰都好一點

然後注意事項這邊不知道有沒有跟以前不一樣,上面寫:

參加本活動，須由正卡持卡人於活動期間透過永豐信用卡服務網進行線上登錄，逾期未登
錄或資料輸入錯誤者，視同放棄及未符合活動回饋資格，恕無法補登參加。各活動登錄額
滿即提前終止並公告；符合限量回饋名單，以符合活動門檻且同時成功登錄時間先後依序
擇優回饋。

例1：滿2萬送1千元門檻於10號公告額滿，如A客戶於4號消費、11號登錄，恕無法獲得回
饋；而B客戶於5號登錄、13號消費，亦恕無法獲得回饋。

例2：本活動採累積計算，如C客戶於5號消費1萬且於當天登錄(登錄順序：80)，則符合贈

送400元回饋金，而滿2萬送1千元門檻於10號公告額滿，若C客戶於8號又消費1萬，總共可

獲得1千元回饋金，但若C客戶於15號才消費1萬，則只能獲得400元回饋金。

所以就算有先登錄,額滿以後就算有刷也不能回饋了???

之前都是就算額滿,但只要登錄到，還是有回饋,要改了??

--

國泰我有搶到啊，只是要幫家人搶沒搶到
",10月2日
Re: [心得] iPhone 8／iPhone Ⅹ 新機刷卡攻略,26,,"

我剛剛打去問台新客服

經過一番等待（用手機打真的有夠虧本）

他說蘋果官網算一般消費，所以只有1.%（綁Richart)

整個很傻眼，還是乖乖刷Linepay卡好了，

回饋完全不囉嗦
-----
Sent from JPTT on my iPhone

--
 
 
 
 
 
 
 
       〃 ◢▃▃◣

 
 
 
 
╴╴        ∵
◥


◣ 
◣ 
◣ 
 
 
█  
█  
██ 
 
 


▉ 
██ 
▉ 
 
 
██  
█   
█  
 ◥
◤

█
█
█




--
", 9/14
[問題] 花旗 寰旅卡年費,7,,"

您好 各位前輩

在下最近想申請寰旅世界悠遊卡。
月刷卡約5-8萬。
目前已有花旗現金回饋卡。

請問：
1. 這樣是否算新戶？
2. 年費可否抵免？
3. 推薦好友部分可否參加？

爬文似乎沒有類似問題，
請版大饒恕。

謝謝

--

感謝A大肉身測試！
看到肉身有笑出來啊～

感謝以上諸位大大，小的送出申請了
就等後面消息了.....
", 9/18
[情報] 【國內飯店刷台新享回饋】兌中授權碼 最,3,,"

【國內飯店刷台新享回饋】兌中授權碼 最高享萬元消費金




國內飯店刷台新享回饋
兌中授權碼 最高享萬元消費金
活動期間：2017/10/01～2017/12/31
於下列指定飯店刷台新信用卡單筆滿NT$1,000（含）以上，憑合格簽單授權碼兌獎，即有機會獲得以下獎項：

對中8 台北曼谷7日來回機票憑證
對中888 領回該筆簽單金額 最高10000

--
",11月3日
[心得] 元大線上加辦鑽金icash mastercard,4,,"

[申請卡別]: 元大鑽金icash love

[職業類別]: 服務業

[目前工作年資]: 2年

[年收入] :填2500K

[可提供之財力證明]: 3個月薪轉存簿

[其他卡片額度]:
                渣打300K
                國泰400K
                花旗 華南 台新 富邦 一銀 80-120K之間


[核卡額度]: 100K > 200K

[是否有無貸款]: 無

[最近3個月內有無申辦]: 無

[歷程]:

最近想出國看到expedia.com上有mastercard 88折的折扣碼。

想說已經擁有元大鑽金VISA JCB兩兄弟，就再加辦Mastercard順便調財力吧！

原先額度10萬，這次想說調一下吧，不然全家出國可能不夠用。



8/8早上線上加辦附身份證影本及薪轉存簿證明，剛剛(8/15早上)查詢網銀






期間無照會手機或公司(填總機，不知有沒有轉人力部門)

算一算約一週(五個工作天核卡)，元大有順便調額這樣應該算快了的吧？




雖然現在好像中信linepay才是神卡，但是沒有mastercard可以選，

而且我覺得現金回饋還是比line point好一些些，

鑽金另外兩兄弟也很孤單，二缺一。

--
", 8/15
[心得] 澳盛現金回饋卡  未核卡,2,,"

[申請卡別]：澳盛 現金回饋卡

[職業類別]: 研究助理

[工作年資]：7年

[年齡]：31

[年收入]：填450k

[提供之財力證明]：105年度扣繳憑單

[是否貸款]：有

[核卡額度]：打槍

[已持有信用卡額度]:

花旗      121k    現金回饋卡
中信      100k    寰遊美國運通卡
凱基      150k    現金回饋悠遊鈦金卡
富邦      143k    數位生活卡
元大      100k    鑽金卡、中華電信感恩卡、台灣霹靂卡
台新      150k    玫瑰卡、@GoGo卡
聯邦      250k    大小套牢、樂活白金卡
華南      180k    OPENPOINT超級點數聯名卡、iCash聯名卡、大甲媽祖認同卡
大眾      150k    iPASS現賺御璽卡、icash樂享晶緻卡、icash愛現晶緻卡
台中商銀  120k    哆啦A夢現金回饋卡
玉山      250k    家樂福icash聯名卡、寶雅悠遊聯名卡、玉山幸運PLUS鈦金卡
永豐      150k    Prestige卡

[申請進度]：8/3線上申請、8/4通知未核卡

[心得]：一直在信用卡版受益良多，不知不覺也申請了這麼多張卡...之前就有辦過
        澳盛飛行白金卡，已於105年9月停卡，現在才想到可以申請現金回饋卡，
        結果竟然沒過....可能是聯徵近三個月被拉了四次新業務？
        查了一下版上文章，原來我不是特例，預計等10月初再來申請看看~~

--
", 8/06
[心得] VISA 緊急替代卡,39,,"

海外遺失錢包護照成就達成 QQ
這種事似乎沒什麼好驕傲的，不過上來分享一下過程，希望版友們不要遇到，可是不幸遇到也有個參考。

在奧地利遺失了錢包，現金不多，但信用卡全沒了，沒了信用卡，等於什麼事都不能做，沒辦法在網路
訂車票機票住宿，人生一片黑暗。

打電話回台灣掛失時，也順便問了緊急卡的資訊，華南的客服有點弱，不太清楚這東西，
不過也幫我查了一下資訊，但我想 JCB 在歐洲也不是很好用，所以後來沒去申請，
台新的客服稍微專業一些，很詳細的和我說該怎麼做，還幫我想台灣的卡是不是不用太早發，
等我快回去時再幫我寄，非常貼心。

緊急替代卡要打給信用卡組織申請，信用卡組織再和發卡銀行確認，等發卡銀行核準後會代替發卡銀行
製做臨時卡並送到用戶所在處，我決定申請 VISA 緊急卡，不過打打給 VISA 客服也是一波多折，
前後打了好幾通才把事情搞定。

第一通，由於我接下來會待在荷蘭幾天，所以想說直接打荷蘭 VISA 客服，沒想到免付費電話不接受
行動電話打入.....第一回合失敗

第二通，直接打美國客服，順利接通，可是沒講幾句話，由於門號餘額不足，直接斷線@@
附近沒有可儲值的地方，我又沒用信用卡閜以線上儲值，人生頓時陷入了僵局.....
還好五秒後突然領悟我是笨蛋， SKYPE 可以打免付費電話啊 ~~~~~~~

第三通，用火車站免費 Wi-Fi 打 SKYPE給美國客服，由於在網路上看到 VISA 客服有提供中文服務，
想說用中文總是簡單些，所以一打去就問有沒有中文服務，客服立即幫我轉接到另一個客服，結果第二個
客服也是講英文，我滿腦子問號的問說可以講中文嗎, 客服就說沒問題，於是幫我接入一個翻譯三方通話
....我一時不知所措，也不知道該不該和翻譯說不用麻煩他，我自已來就好，就讓翻譯幫我翻了一會兒，
回答時還要忍住，等翻譯翻成中文後再回話，不過因為車站 Wi-Fi 太不穩，一直斷線，後來完全連不上，
才結束了這奇妙的通話。

第四通，用手機的網路再打美國客服，這次就沒要求中文，直接用英文對談，不過第三通客服的英文比較
容易懂，這個客服的腔調有點難掌握，還好 VISA 客服都很有禮貌和耐心，聽不清楚的就請他再說一次，
也讓我順利的完成申請。

整個流程和打台灣信用卡客服差不多，了解我的狀況後，先確認我已經和發卡銀行掛失，就開始問一些
安全問題，包括卡號，住址，生日，電話號碼等等，確認資料後，開始確認我的行程，問我希望寄去那，
確認旅館資訊，由於我還沒 check-in, 只有訂房紀錄，客服就和我要了訂房代碼，然後問我接下來還會
去那些國家，只會幫我開通這幾個地方的刷卡權限，也問我要不要緊急現金服務，可以用西聯匯款送到
離我最近的地方，不過我在荷蘭有同事可以支援，所以就沒借。

程序完成後，客服說台灣的銀行可能會聯絡我，問我何時方便，我說隨時都可以，他還很貼心的問我，
有可能在半夜睡覺時打來，也沒關係嗎? 我就說都可以，心裡想著，只要把卡給我，要幹嘛都隨便啦。
最後客服說手續都完成了，我會收到一封確認信，上面有案件代號，我隨時可以憑這個代號聯絡他們，
了解進度或是尋求其他協助。

隔天，我一直查mail, 完全沒有任何確認信件，也沒人打電話聯絡我，回想申請過程，這位客服在聽我
講電話號碼和email 時都沒有覆誦確認，不會是輸入錯誤資訊了吧......沒想到晚上去旅館 check-in 時
櫃台拿出了一個 UPS 的信封說是我的，我一開始愣了一下，後來才意會到應該是我的卡，真的是太有效
率了，果真在 24 小時內就可以拿到，而且台新的客服本來是和我說會有專人送達，並會核對我的資料，
沒想到直接就是快遞寄來。

卡片長這樣，效期只到年底，沒有晶片，沒有感應，只有磁條，也沒有 pin code，不用開卡直接可用
額度是原本台新卡的額度，好像不能預借現金，不過這年代，只有磁條也是有些麻煩，我已經遇到兩個
地方的刷卡機不能用磁條。





至於費用，由於我一定需要卡片，所以我也沒問費用多少，從頭到尾台新和 VISA 的客服也沒提到費用，
只能等我回去後看看帳單才知道了。


最後還是希望大家別遇到 QQ

--

我也不知道，照台新客服所說，是要親收且要出示身份證明，可能 VISA 偷懶吧

我有放備用錢在行李箱，只是一直覺得放一張卡在行李箱不太踏實，所以沒放，下次會放一張了


等我回去看到帳單再來報告，目前未出帳明細裡是沒有這一條



虛擬卡是個好建議，立馬來研究一下



之前查了元大的旅遊不便險好像沒包含這個，等一下再來研究看看



是台新發卡， VISA 海外代製 ，剛查了一下網銀，這張卡別還是原來的 ＠ＧＯＧＯ悠遊御璽卡



我還剛好就只記了這張的卡號，因為 @GOGO 的設計缺陷，卡面上的數字都磨損看不清楚了，我又都拿他來
網路訂票，所以有另外抄下來，感恩 @GOGO~~~



希望我也不要被收~~~~
",10月23日
[問題] 澳盛5%回饋卡~財力證明之存款餘額必要性?,13,,"

線上申請澳盛信用卡  為了上傳財力證明

小弟將存摺的薪資轉帳內頁給拍了下來

但是巧妙遮住了存款結餘的部分


沒想到隔天就收到銀行來電要我重傳財力證明

理由是薪轉證明的存摺內頁需要既清楚又完整

並指出我存款結餘的部分沒拍到 這樣完整度不夠

卻又強調並不會看存款去估信用額度

(我心裡OS既然不看存款又何必要求拍清楚?)


請問大家申請信用卡真的都老實餘額一併拍出嗎?

--
",#N/A
[情報] 世界卡推出-全球皮夾保障保險,4,,"




皮夾保障保險，全球 (Wallet Protection Insurance, Global)

我們為您提供全球範圍的皮夾保障，即使皮夾遭偷竊、入室竊盜、搶劫、或意外遺失，您
皆可獲得妥善保障，讓您無後顧之憂
皮夾保障保險提供全球全額支付補償，金額最高 100 美元，涵蓋更換皮夾與內含物品的
相關費用。

若皮夾遭偷竊、竊盜、搶劫 (保險事件)、或意外遺失，皮夾保障保險將支付以下衍生費
用：
更換皮夾
更換卡片
重發護照或身分文件
條款和條件:
實際保險範圍依各發卡組織或國家而異，
本保險方案現已提供予中國，香港，印度尼西亞，馬來西亞，菲律賓，新加坡，南韓，泰
國與越南發行的Mastercard萬事達卡世界卡持卡人。

上述保險條款與細則限制，Mastercard萬事達卡得以通知另行更改。
實際保險範圍依各發卡組織或國家而異，詳情請洽發卡組織。

以上就是少了台灣發行的世界卡...難道是濫發??

--
", 7/31
[問題] 旅行社延後刷卡,15,,"

想請問一下各位大大. 有沒有人有經驗那些旅行社可以先付現等之後再改刷卡?
我是因為出發日期還很久, 想要等靠近了再刷卡才能用到貴賓室以及機場接送.
自己目前問到只有雄獅旅行社可以. 東南跟可樂旅遊都告訴我不行.
感謝大家~

--

最後我還是跟雄獅買了機票. 後來問到燦星也不接受先付現or訂金再退現改刷卡. 雖然雄獅硬生生比人家貴還是只好跟他們家買QQ
",10月8日
