,Unnamed: 0,Unnamed: 0.1,titl,link,push,auth,date,text,reply,date_new,predict_tag,final_push
1382,1382,10044,Re: [情報] 分眾 樂天JCB限定滿額享日本5天免費Wifi,/bbs/creditcard/M.1501665982.A.E9A.html,14,fuso23, 8/02,"

        上次去日本拿辦卡送的H牌，結果竟然充電充不進，去5天，第一天把原本60幾%
用完，晚上只充了10幾%,第二天用到沒電完全充不進，只得自己買sim卡，整個心情都壞
了，回來反應後，只願賠償我“下次去日本，4天免費”，最好下次我還用你家的啦！懶
得跟它吵了…




--
",23,2017-08-02,0.3857081456140875,14
1385,1385,10047,[問題] 華南JCB簽帳卡使用機場貴賓室問題,/bbs/creditcard/M.1501679763.A.BB3.html,7,seattle20, 8/02,"

小弟今年十月要和女友去歐洲玩，
想要在香港轉機的空檔利用JCB信用卡免費使用機場貴賓室，
因為女友研究所剛畢業還沒有工作收入又綁學貸，
如果想申辦一般的信用卡應該是辦不過，
日前在版上看到版友分享華南金融卡具有JCB簽帳功能，
也可以免費使用機場貴賓室，
所以已經請女友完成開戶，
但是當初開戶時，行員跟女友確認沒有實際使用需求，所以沒有開通JCB簽帳功能。

請問這樣子的話還是符合免費使用資格的嗎？還是要先開通簽帳功能比較保險？

--

謝謝版友們熱情回應，會請女友去臨櫃辦理開通，一年刷三次加油免年費。

卡面上有PRECIOUS，網路上也有很多網誌分享實際使用是沒問題的。

女友家人都沒有使用信用卡的習慣，也不想只是為了免費使用機場貴賓室還要麻煩她的家
人辦信用卡。

至於免費使用目前只到九月底，就姑且期待會繼續展延吧XD
",11,2017-08-02,1.2038112767876992,7
1392,1392,10054,Re: [情報] 更新→台新xPayeasy女生節有3家禮券可買,/bbs/creditcard/M.1501691722.A.80A.html,95,Gossipig, 8/03,"

SOGO禮券



大潤發禮券



家樂福禮券



有需要的人快下單吧，都有限量的

--
我達達的鞋跟聲是美麗的假象
                我不是正妹，是個歪妹

--


",126,2017-08-03,0.10695620169304383,95
1393,1393,10055,[問題] 第一張卡一直申請不過,/bbs/creditcard/M.1501692514.A.BB3.html,44,gail31543, 8/03,"

大家好

我朋友30歲 去年年收24萬 目前還有學貸

這是她大概的背景(不好意思再問深入一點)

前年在電子公司上班(全職) 申請花旗、玉山、彰銀被拒

後來換到餐飲業(兼職) 薪轉是中信 也沒過

今年逛旅展遇到大眾(我想辦) 然後大眾業務說永豐很好過 但也被拒絕...

想問問有沒有哪一張卡比較好過 還是乾脆等之後換別的工作再試試?

因為投太多次 已經不知道要試哪家卡好

又怕亂投浪費機會

只好上來求救 >""<

謝謝~~~

--


確定是24....看扣繳憑單
然後也真的是小白
所以才苦惱@""@
中信薪轉那個好像是visa金融卡


恩恩
謝謝~~


恩~沒有問到這麼詳細
一開始她也沒想辦卡
是我偶爾逛版,覺得應該要辦一張卡有信用往來的紀錄
才建議她試試
去年年收不高是因為中間轉兼職

大家的回覆我大概了解了
目前可能朝向等工作穩定後再試試,謝謝~


阿 切到推文了
是我雞婆建議她辦的^^""
",68,2017-08-03,0.541770833871817,44
1396,1396,10058,[問題] 台新gogo卡取消申請要多久才能再申請,/bbs/creditcard/M.1501725971.A.857.html,6,b08297, 8/03,"

如題

我之前用app申請@gogo虛擬卡

後來成功申請app也顯示審核中

但是後來想改申請悠遊卡於是打去跟克服取消審核

昨天台新也寄簡訊說已經取消了

但是我今天看app他卻還是顯示審核中

打給台新他們說app要跟新但沒說多久

請問大概要多久後才能重新再申請呢

--
",7,2017-08-03,0.5560824692228153,6
1405,1405,10067,Re: [情報] 更新→台新xPayeasy女生節有3家禮券可買,/bbs/creditcard/M.1501748177.A.C06.html,53,dramalover, 8/03,"

剛剛收到Line通知
小幫手說還在設定
等等會提早用line通知大家
不過追加的只有家樂福和大潤發
搜狗就不加了
這是PayEasy的line




--


",56,2017-08-03,0.410506360523646,53
1415,1415,10077,[問題] 聯名卡加值,/bbs/creditcard/M.1501810823.A.2B0.html,9,LoKira, 8/04,"


想請問一下，

身上有張中國信託的信用卡，其上有一卡通的功能。

在不使用現金的情況下，有辨法手動用信用卡扣款儲值嗎？

還是只能去商店消費才能加值呢？

感謝回答。

--
",12,2017-08-04,0.2021835431601936,9
1421,1421,10083,[問題] 美國amazon刷渣打信用卡,/bbs/creditcard/M.1501831673.A.1B6.html,7,CUTIEPIG, 8/04,"

請問有人用渣打信用卡刷過美國AMAZON網站嗎?

我有看到大家討論什麼DCC跟GC

但是其實我不是很懂

我結帳那邊有選擇USD

結果渣打信用卡刷卡通知出來匯率大概33.3(誇張高)

比AMAZON上面31.85還誇張~

請問是在AMAZON刷台灣的卡片都會這樣嗎?

我現在想說先取消訂單換一張卡片看看

--
",10,2017-08-04,0.23712404635894505,7
1427,1427,10089,[問題] 突然收到信用卡掛號信？？,/bbs/creditcard/M.1501856036.A.F9D.html,2,zamora, 8/04,"


哈囉大家好

剛剛收到家母的訊息，
說是收到我的信用卡掛號，
不知道該怎麼辦才好

首先
我從來沒申請過任何銀行信用卡

再來
我移居海外已五年了
不可能，也沒意願申辦信用卡

但很擔心是不是有人盜用身份申請
總之，已經請家母幫我代領掛號郵件

但想問問看這邊版眾，有否類似經驗？我是否太擔心？

謝謝！！

-----
Sent from JPTT on my Motorola Moto G (4).

--
",25,2017-08-04,0.3626445077093858,2
1432,1432,10094,[閒聊] 信用卡機場停車,/bbs/creditcard/M.1501925566.A.8C2.html,1,tsengca, 8/05,"

小弟這次用昇恒無限，無惱停免費
很讚
在路上聽到司機大哥說
銀行信用卡是計次跟嘟嘟房算錢的
1天或30天都是175，看來也不是很傷

--
",12,2017-08-05,1.0553751204723316,1
1435,1435,10097,Re: 關於自然人憑證申請花旗信用卡,/bbs/creditcard/M.1501942890.A.AA5.html,6,chiapon, 8/05,"



我遇到一樣的問題, 應該是花旗憑證軟體檢查到新版卡片時無法辨識.
後來我火大拿舊版的自然人憑證 (已過期) 讓它檢查就過了 = =""

資料填了老半天, 到了最後的 100% (完成申辦與身分認證) 還是得用新的憑證,
因為舊版的已經過期無法使用, 所以還是卡住...囧

我也懶得等花旗更新軟體, 現在乖乖地用一般線上辦卡 XD

--
",10,2017-08-05,-0.6227099950277682,6
1436,1436,10098,Re: [閒聊] 大家心目中前三好看的信用卡?,/bbs/creditcard/M.1501944050.A.1A7.html,48,cyliner, 8/05,"

借用這個標題回文, 因為已經有段時間了怕會沉下去XD
如果大家覺得內容不值得回文分享我再刪掉...
(原諒我原先忘記關鍵字這兩天一直在找才會這麼晚回XD)


一直記得大概在幾年前有個外國朋友在FB秀了一張信用卡,
說這是他認為全世界最美的信用卡,
當時我不以為意,想說信用卡不就都那樣,也沒啥特別的阿
沒想到我點進去看到圖時,我真的是完全被震懾到!!!
原來信用卡可以是藝術品一樣的這麼美... 這真的是最神的信用卡阿!
不過在台灣似乎不是這麼容易入手~ 真希望自己有生之年可以辦一張阿QQ


廢話不多說 關鍵字是: Rosan Diamond














下面連結有他們的卡面分類相簿(目前有八類)及最新卡面就自己看囉:





不知道大家覺得如何呢?  :)



--
",58,2017-08-05,0.3628774950496788,48
1447,1447,10109,[問題] 信用卡刷卡機為何沒有計時功能(像是,/bbs/creditcard/M.1502020638.A.E25.html,6,cobrabaton, 8/06,"

有個疑問，為何悠遊卡可以用刷兩次的方式做計時收費的功能。

但是相對先進的信用卡，甚至能延伸至行動支付的部分。卻沒有進出刷卡計時收費的方式
?

不知道有沒有熟知信用卡系統的大大能解疑呢？

悠遊卡算是儲值智慧卡的ㄧ種

但信用卡應該也算是智慧卡的ㄧ種

是不是刷卡機的問題導致不能用感應計時結帳方式呢？

只是覺得悠遊卡可以，信用卡不行滿怪的

--
",21,2017-08-06,0.34798750101341364,6
1463,1463,10125,[問題] 請問刷卡機操作有辦法拆單刷嗎,/bbs/creditcard/M.1502082981.A.36C.html,4,monkeyboy234, 8/07,"

大家好，由於最近朋友新辦卡片，首刷禮要刷兩筆711

今天晚上要去吃飯要刷兩千塊(一桌)

想請問一下發票如果只開一張2000元的發票

機台操作上有辦法拆成兩筆1000元刷卡嗎

如果機台操作上可以的話我晚上會問問店家意願能不能拆成兩筆刷

謝謝各位

--

因為他是一桌2000元 不是很多道菜加在一起兩千元
之前去吃他發票上面就是一個品項 桌菜 2000 這樣POS機有辦法拆帳嗎
謝謝你>""<

兩張發票我可以  可是只有一個品項 POS機有辦法拆成兩張發票打嗎
技術上可行的話我進去會問問店家意願的
非常感謝你
",9,2017-08-07,0.3300365824620185,4
1479,1479,10141,[問題] 卡面變黏，有人遇過嗎?,/bbs/creditcard/M.1502157867.A.11C.html,19,hirono, 8/08,"

不曉得這個問題能不能在這個版問...

年初的時候我郵局的VISA卡到期，所以去換了一張新的回來
回家後就和其他卡一起放進信用卡冊中
上個月發現裡面的錢已經被扣得差不多，該存錢了
一拿出卡冊就傻了
整個卡面變得黏黏的，就好像貼過貼紙又撕下來一樣
想說拿橡皮擦把它擦掉，但幸好我很有實驗精神的只擦了1/3卡面
擦過的地方不但黏的東西沒掉
甚至還粘上了橡皮屑(冏)

請問有人遇過這種情況嗎?
這是太熱融掉，還是我保存方式哪裡不對?
一起放在卡冊裡的土銀提款卡、禮物卡、關西空港卡都沒事啊...
我Google過，都是卡面的膜掉了之類的
沒有卡面的膜融化變質的事故
我這張是...特例嗎?
除了花錢去換一張卡以外
還有沒有什麼解決方案?
現在根本不敢拿卡去ATM存錢
怕它直接黏在裡面造成死機上新聞 = =b

--

大家都是脫膜，只有我變黏
這樣還能說是它品質問題免費換嗎Q_Q


不要想歪

我沒有沾到糖
連水都沒有


Google結果都是脫膜
我還寧可我是脫膜，去換還能理直氣壯(誤)
但...年初才換的卡，年中就不行了
而且換回來後還根本沒用過...冏

請問兩位高手
要怎麼擦掉它>""<
橡皮擦真的效果很差，只有讓它更慘的感覺

是!!就是它!!
前一張綠色的並沒有這樣


原來大家都...(驚)
看來我應該可以安心去換??
但換回來如果放一陣子還是一樣就...冏


我只怕它卡在機器裡，不然我還真的不常用


原來是這樣!!
紫色是新版，所以我還GOOGLE不到很多是正常的
瞭解了!!



有好幾張小朋友卡實在


領卡很麻煩，所以很不想去，但看樣子還是要去...


嗯...回家試試好了，拿個角來試看看
反正不行的話也是要去換了(笑)


綠卡那張我倒是完全沒問題呢
鄉民們的慘況我都沒遇過~XD
換了紫卡才發現中獎，然後現在才發現災情原來其實這麼慘...



回家後認真拿酒精+神奇海綿擦了擦
結果左上中華郵政的中字不見了(笑)
其他部份沒問題，也不黏了!!
本來預計這星期六早上去郵局換卡
這下子好像不用了

感謝所有朋友給我的建議和回應>.^


",30,2017-08-08,0.2530361392688398,19
1485,1485,10147,[問題] 網購 日本樂天/AMAZON 刷卡費用,/bbs/creditcard/M.1502174702.A.B40.html,0,cheng1208, 8/08,"

想請問一下
本身只有兩張卡
一張華南紅卡
一張花旗饗樂卡

假設今天A物品支援海外寄送
那如果我刷卡網購
假設是日幣19999
那應該是匯率x19999之外
會有額外的手續費或是其他費用產生嗎?

--
",4,2017-08-08,0.4348964500024953,0
1493,1493,10155,[問題] 台新17%的payeasy提貨券,/bbs/creditcard/M.1502197064.A.A5F.html,58,a1533062, 8/08,"

想請問一下

8/3在payeasy購買的提貨券

已經有板友收到了嗎

我的宅配通查詢結果一直顯示在8/5出站

然後就沒下文了~~

更新:原來宅配通有災情 不過8/9收到大潤發提貨券了 祝福大家能順利收到禮券

--




",56,2017-08-08,0.44580853159699024,58
1495,1495,10157,Re: [問題] 卡面變黏，有人遇過嗎?,/bbs/creditcard/M.1502205737.A.758.html,9,zxcchia, 8/08,"

那我來分享一下自作聰明的後果好了......
但當初帶著卡片到郵局問，
櫃檯阿姨只說，阿還能不能用，能用就不要換啦，換新卡要100塊

感謝卡板網友，我可以寄去郵局換一張了

（卡板點薄弱，非騙P幣，若不妥請告知）





卡號就不遮了......

（P.S 回應本文，是可以正常提款的喔！）







--
",13,2017-08-08,0.3385891942670855,9
1496,1496,10158,[公告] 水桶名單 ohGOD,/bbs/creditcard/M.1502208576.A.49F.html,0,crazyghost, 8/09,"


第一條 輕度犯規  處理：砍文 / 警告1次 / 視情節劣文

        3. 未爬文：發文前請先參考「官網」、「精華區」與「板上之文章」。(註1)


ohGOD

二度違反板規
2017/07/14 板規1-3 未爬文
2017/08/07 板規1-3 未爬文

已累計2次警告 水桶兩週

crazyghost @ creditcard


--
",0,2017-08-09,0.4578943427778272,0
1520,1520,10182,[問題] 換貨刷卡的問題,/bbs/creditcard/M.1502370946.A.704.html,4,RiTaYin, 8/10,"

不知道可不可以在這裡發文次問題？

我在某某電子買了冷氣，因為我自己觀念錯，
銷售員也沒提供專業建議，
總之安裝師傅送貨來看到我家客廳之後，
說我買太小了（我買3-4坪，冷房2.2kw)
說會只有涼涼的，勸我先別裝，換大台ㄧ店
抱歉說長了
總之，我先前已刷了第一台冷氣的錢
現在要換更貴的
大家會建議刷退再重刷？還是補刷差額就好？
謝謝大家

--
",4,2017-08-10,0.3008492951143555,4
1522,1522,10184,[問題] 台新LETSPAY請款時間也太久了吧,/bbs/creditcard/M.1502378332.A.BBA.html,9,skychih, 8/10,"

台新LETSPAY請款時間也太離譜
今天收到訊息
2017/03/06 使用LETSPAY在全家買東西
2017/08/07 才入帳

誰會記得半年前在全家買了什麼??

--

--
",13,2017-08-10,0.4991817616095842,9
1525,1525,10187,[新聞] 華南銀讓Kitty信用卡大復活 ,/bbs/creditcard/M.1502398209.A.DAA.html,33,rudd, 8/11,"


登登 結果揭曉
華銀三麗鷗卡得標者是HELLO KITTY, MY MELODY, 以及LITTLE TWIN STARS
三麗鷗2016角色大賞冠軍布丁狗跟2017冠軍大耳狗喜拿表示哭哭
連近幾年超受歡迎的蛋黃哥都沒有~~


新聞來源:


華南銀讓Kitty信用卡大復活
祭限時限量 還有Melody雙子星卡可選

2017年08月11日

睽違10年
【廖珮君、林巧雁、王立德╱台北報導】睽違10年，Hello Kitty信用卡將重出江湖！華
南銀9月將一口氣推出3張最熱銷卡通肖像信用卡，除Hello Kitty外還有Melody、雙子星
卡，勢必再度掀起熱潮；但堪稱元老級、發卡長達17年的國泰世華銀比得兔信用卡卻在7
月起正式走入歷史，讓長壽級的卡通信用卡又少了一張。

據了解，華南銀此次發行這3大卡通肖像信用卡中，搭配民眾一刷卡「感應」就會發光的
LED效果，但採取限時、限量、獨家發行，預估肖像權利金將上看7位數，其中又以Hello
Kitty卡最受矚目。這也是繼新光銀（併入誠泰銀）在2007年停發Hello Kitty卡的10年後
，又再度有銀行推出。

首批恐限約5萬張
華南銀總經理鄭永春說，首度和三麗鷗系列合作發行Hello Kitty卡，主要希望可以引進
年輕女性客群。據了解，華南銀此次發卡加入LED，製卡時間相對拉長，且成本更是一般
信用卡的3倍，估計首批發卡量，恐僅限約2~5萬張，之後將視市場反應狀況，再做調整。
回顧國內的卡通信用卡史大戰，在2005年達到巔峰，當時有6家發卡行、共發行了8張卡通
卡，當時預估全體卡通卡發行了200萬張，其中中信銀的趴趴熊卡、誠泰銀（併入新光銀
）的Hello Kitty卡更是代表作。

miffy卡逾60萬張
說起中國信託在發行卡通肖像信用卡貢獻度就很高，很早就曾找來華納卡通明星合作，像
是崔弟（Tweety）、太菲鴨（Daffy）、兔寶寶（Bugs Bunny）都有成為卡面主角過，其
中趴趴熊卡在中國信託發卡史上算最「資深」，發行時間更逾13年。
細數這些發行時間超過10年的長壽的卡通信用卡，除趴趴熊外，台北富邦銀行在1998年發
行miffy信用卡，累計發卡量逾60萬張，廣受女性喜愛，北富銀甚至在2009年時，鎖定
25~35歲女性，重新推出miffy白金卡，受歡迎程度可見一斑，但到2015年時因圖像授權合
約到期就不再發卡。

原子小金剛25萬張
國泰世華銀比得兔聯名信用卡是在2000年由匯通銀發卡，匯通銀併入國泰金之後，因當時
仍很風靡，國泰世華銀接手繼續發行，但到今年7月1日停止申辦，市場估計目前卡量約10
萬張，由於比得兔卡9種卡面都只發磁條卡，卡片有效期限比晶片卡短只有5年，到期後只
能轉為收藏用。
兆豐銀前身中國國際商銀2005年首發「原子小金剛」信用卡，兆豐銀卡務中心主任張壬富
表示，自發行以來，有效卡、流通卡數均持續向上攀升，至今流通卡數已逼近25萬張，這
是目前市場上僅存一張超過10年壽命且還存在的卡通信用卡。
卡通信用卡肖像權利金過高，加上這類卡片主要群眾鎖定年輕族群，但年輕族群刷卡消費
額低，各銀行仍敵不過高成本的負荷，使各銀行發卡幾年後，只能打退堂鼓，讓這些卡通
人物走入歷史。


--
名成利遂勿煎憂  菊裡秋風道坦然

得意便垂三尺釣  長竿獲得錦鱗鮮


--
",43,2017-08-11,0.591842451202541,33
1533,1533,10195,[問題] 台新gogo卡首刷禮調降？,/bbs/creditcard/M.1502423896.A.F8F.html,5,m87dd05, 8/11,"


看到前幾篇8月首刷禮的文章
剛剛跑去辦了狗狗卡
但是首刷禮是玫瑰杯跟300刷卡金或icash80000點
似乎已經更改首刷禮的贈品了？

-----
Sent from JPTT on my HTC_U-1u.

--

我誤會了，是要官網辦才有500
",8,2017-08-11,0.3422848431165061,5
1536,1536,10198,[問題] 玉山debit金融卡機場刷卡,/bbs/creditcard/M.1502435149.A.BC6.html,3,oasis0316, 8/11,"

小弟現在在日本打工換宿
下週回台灣想在機場櫃檯加購行李超重的費用
但樂桃航空規定要使用""信用卡付款""

請問debit金融卡能否等同信用卡來付款呢
上網爬文是說只要存款足夠
且有visa標誌就能刷？

第一次出國很怕在機場有什麼突發狀況
拜託各位幫忙解惑了QQ



--
",4,2017-08-11,0.577035578806903,3
1547,1547,10209,[問題] CD三個月一定要完整度過？,/bbs/creditcard/M.1502459019.A.291.html,3,shenyang, 8/11,"

小弟在今年6月7日的時候已經從空白聯徵新增了中國信託和台新銀行，

身為小白的我，我也不知道當時哪來的勇氣投台新銀行，

可能想說反正沒過還是要等三個月，所以就隨便投吧，

第三間銀行是玉山銀行，6月9日拉的，我一定要等到9月10日才能投申請書嗎？

因為這份工作到九月中就要離職開學了，所以想上來問問看，

聯徵乾淨後想第一家先投花旗銀行，辦一張號稱業界最好辦的學生卡，

之後再看看重新戰中國信託，或是去辦一張國泰世華Costco 聯名卡，

再麻煩各位為我解答關於聯徵紀錄的問題了～感謝！

--

我的玉山有過，我忘記說了。感謝解答～
",6,2017-08-11,0.6167840591220686,3
1556,1556,10218,Re: [閒聊] 美國amex retention offers ,/bbs/creditcard/M.1502500387.A.C46.html,1,CompileUltra, 8/12,"

剛打完電話 想不到已經有人分享了

小弟PRG 去年刷14000鎂左右
拿到的offer正是
$50 immediate credit
+ $50 if spending $500 in 8 weeks

大家參考^^




--

想不到頭推是E大!
",1,2017-08-12,0.4171711023879709,1
1562,1562,10224,[問題] 跪求菲律賓刷卡建議,/bbs/creditcard/M.1502523901.A.A0F.html,8,mac5566, 8/12,"

小弟接下來有機會去菲律賓工作
預計申請AE長榮簽帳白金卡
但不知道AE在菲律賓好不好用
所以想請問有在菲律賓刷卡過的大大
AE在菲律賓好刷嗎？會不會很常刷不過？

如果跟在台灣差不多
應該就AE長榮大白+目前使用的國泰長榮無限卡、中信JCB極致
如果AE在菲律賓不好用
就會改申請國泰長榮極致無限卡

謝謝！

--

真的，滿高的Orz
所以我想說申請長榮大白，海外消費加50%哩程
多少彌補海外手續費，比一般大白30元1哩好一些

喔喔看來M或V一張是必要的
我應該只會待一年，申請當地信用卡可能沒多久就用不到了＠＠
所以還是以台灣信用卡為主
感謝power大提醒

沒想過當地debit card，有空研究看看，謝謝提醒

嗯嗯爬文有看到拿美金去當地換匯率較好

薪資有含peso
請問申請菲律賓信用卡有像台灣一樣須提供N個月薪資證明之類的嗎？
要的話，一開始還是需要帶台灣信用卡去，之後再考慮申請當地卡
謝囉
",8,2017-08-12,0.4094177474178313,8
1580,1580,10242,Re: [問題] 跪求菲律賓刷卡建議,/bbs/creditcard/M.1502632961.A.85E.html,9,claymath, 8/13,"




我有去那邊出差過幾次(大概七八九次QQ)
然後也差點就長駐

因為不確定你會在哪邊 所以僅能就自己經驗告知


我有住過奎松市(在Manila附近)
還有卡蘭巴的Laguna

因為後面比較有再用卡都不適馬尼拉市
所以用卡的經驗大都是星巴克 大賣場 超市 還有outlet裡面買香蕉乾這類

然後建議你 如果是大賣場可以刷卡(像是S&R這種...有點像好市多)
然後一般的S&M 超市也可以刷卡
當然百貨公司類的也可以
但我記得大都是visa跟master 然後要按密碼
也有在levis的 outlet用過華南yoho買了一條過季990peso(台幣就X0.7)
的38腰502牛仔褲
但是能刷jcb有點少

然後 三米糕的的啤酒一罐很便宜大概折合台幣18元而已(還22)

然後帶美金去outlet內有再兌換peso的換錢的地方換錢就好
機場匯率比較差
你可以先換一些 然後機場買一張sim card設定好網路
不然沒網路 好像殘障一樣很麻煩 不能上ptt更麻煩QQ

--




--
",10,2017-08-13,0.2929005547192844,9
1584,1584,10246,[問題] 信用卡端末機交易的 Entry Mode 代碼?,/bbs/creditcard/M.1502639118.A.123.html,4,jefflin555, 8/13,"

一般常見的 Entry Mode 包含
S = 磁條交易
C = EMV智慧卡接觸式晶片交易
W = EMV智慧卡感應式晶片交易
M = 手輸卡號交易


最近在威秀拿到這張簽單，上面的 Entry Mode 是 F，不曉得是甚麼意思?
另外 MobilePay 版有人刷行動支付，拿到簽單上是寫 T，有人知道是哪種 Entry Mode 嗎

簽單圖: 



感謝解惑~~

--
",9,2017-08-13,0.29646971107154313,4
1594,1594,10256,[閒聊] 電銷最多的銀行 ,/bbs/creditcard/M.1502699213.A.F9A.html,100,Matung, 8/14,"

大家應該或多或少都有辦卡之後
電銷接不完的經驗吧

也不知道到底是當時沒勾到還是怎樣
就是會接到

後來都會特去打去告知拒絕電銷才會不再打來

以下是個人覺得一疏忽
電銷就接不完的前三名

1.國泰

國泰完全是排行第一名 這兩個禮拜已經打了5次電話
不接他就一直打

儘管以前取消過
但可能是最近線上加辦沒勾選好的關係
這幾天時不時就會有人打來問你要不要借錢

不排斥接電話 但這頻率真的很高!

2.中信

使用過中信五年
也是接了蠻多通
好在前陣子剪卡之後就沒再打來了

3.花旗

花旗的電銷好像是波段式的
有一陣子會打超勤
但一陣子又還好

個人還辦過這幾間
華南/玉山/台新/聯邦/兆豐/凱基(萬泰)/第一/美國運通

就屬前三名最常接到


然後最常聽見的2個商品

1.低利信貸 (但其實我不知道幾%才算低)
2.康健人壽的牙齒保險 (可能是因為他會報跟康健人壽合作 所以印象深刻)

大家辦卡後最常接到電銷的銀行
是哪幾間呢?

--
",161,2017-08-14,0.3531262908918492,100
1597,1597,10259,[情報] GoGo悠遊御璽卡要換卡面了,/bbs/creditcard/M.1502709584.A.D7D.html,31,urdie, 8/14,"



2017/08/14

感謝卡友熱烈申辦，@GoGo悠遊御璽卡(紫色限量卡面)預計8月第三週用盡，台新銀行將推
出全新卡面，敬請期待。新卡面實際發行日期，依卡友8月份總申辦量為準，再次感謝您
的支持。


沒想到紫卡是限量的 不知道改版後會不會變發光第2卡?

--
",39,2017-08-14,0.9367349956716898,31
1600,1600,10262,[問題] richart APP 信用卡交易明細問題請益,/bbs/creditcard/M.1502720613.A.406.html,2,KANSANSIOU, 8/14,"

各位好  請問一下

剛剛在線上用信用卡  完成了一項交易

為何無法立即在 Richart APP 的明細欄看到交易明細

而相對地  台新卡得利 卻能立即查到交易明細

照理說兩者不是應該要同步嗎?

難道這是 Richart APP 行之有年的bug = =??

以上問題向大家請益  謝謝大家

若是厚問  小弟文章自D


--
             ▁▁     親愛的~ 

           ／    ＼         \ 
 






喀喀喀喀  


/        
ψ


--
",5,2017-08-14,0.10539043543811448,2
1611,1611,10273,[閒聊] 今天是happycash 靠卡第一天，大家別忘了,/bbs/creditcard/M.1502773184.A.F20.html,13,loveoldwoman, 8/15,"

今天是happycash 靠卡第一天，大家別忘了

剛剛去遠傳門市，他們還不知道靠卡...

--
",23,2017-08-15,0.2483957219251337,13
1614,1614,10276,[情報] 台新分眾 送共和時代演唱會票,/bbs/creditcard/M.1502786572.A.2CC.html,31,pk69240, 8/15,"

先上圖




刷兩萬送兩張
感覺不錯 可是最近沒大額可以刷qq


--

我也很疑惑 怕被塞票 晚點打電話問問好了
",31,2017-08-15,0.41310467310467297,31
1623,1623,10285,[心得] 7-11 刷卡實測,/bbs/creditcard/M.1502842664.A.CC7.html,27,cras4202tw, 8/16,"

今早一如往常的到 7-11 吃早餐
經過結帳櫃檯時
疑那個 好像 是 刷卡機




雖然之前有看到年底或明年開刷
不過我們這邊的已經有機器在測試了

後來根據店員說法滿 300 就能刷

試刷囉








台新 gogo 實測成功
可 ApplePay 可一般刷卡

--
",43,2017-08-16,0.3260463195031506,27
1630,1630,10292,Re: [閒聊] 電銷最多的銀行,/bbs/creditcard/M.1502870494.A.57E.html,12,mos, 8/16,"

如果你真的不小心接起來

通常他會念自己的編號、還有一串聲明

並問你同不同意錄音之類的

之前做過電銷的朋友說

這邊說『不同意』就可以阻止他講下去了

但我沒有證實過

--

N年前曾經接過花旗推保險

也是掛不掉的狀況(當時心太軟)

他講了將近半小時森77對我說：『先生！你一天30多塊錢也不付出來嗎？』

我：『對，我付不出來。』









然後我就被掛電話了
然後我就被掛電話了
然後我就被掛電話了



--
生命中的第一次愈多，生命也就愈益多采多姿。願你珍重第一次。

--
",17,2017-08-16,0.3031400988156855,12
1632,1632,10294,[問題] 匯豐電銷人員可以看到信用卡消費記錄？,/bbs/creditcard/M.1502872989.A.57F.html,1,markwu123, 8/16,"

剛剛接到了一匯豐銀行電銷的電話。我其實不以為意
（畢竟就是別人工作。也不會覺得反感）

但是在推分期付款的時侯。他直接提到我最近有一筆三萬多塊的消費記錄
問我要不要分期或是有分期的需要？

這？

我回去看了一下匯豐的信用卡約定條款。

第四條第二點

二、基於前項之特定目的範圍內，信用卡申請人或持卡人(含保證人)同意本行得將信用卡
申請人或持卡人(含保證人)之個人資料及與本行之往來資料(以下簡稱個人資料)提供予
持卡人往來之金融機構、財團法人聯合信用卡處理中心、財金資訊股份有限公司、信用卡
國際組織、財團法人金融聯合徵信中心。


這就是算可以授權匯豐電銷調閱我記錄去看消費記錄？

--
",5,2017-08-16,0.5372332355610921,1
1662,1662,10324,[問題] 國泰世華刷日本航空,/bbs/creditcard/M.1502971692.A.615.html,13,snowydream, 8/17,"

請問最近有買機票(台灣出發)的版友 你們有被收取一筆國外交易手續費嗎??

爬文是說 如果航空公司交易主機在國外 就可能被收取
(文章是2015的資訊 有點舊了)

但是我的疑惑是 日航有台灣分公司 我也是在台灣官網訂的

以前多次使「同一張」信用卡片 也沒有被收過手續費

可是這次變成消費國家是JP 就被多收一筆國外交易費用


日航回覆：我們只收機票錢  是台灣分公司請款
國泰世華回覆：日航是日本公司 此帳是日本方請款  所以有國外手續費

有人遇到類似狀況過嗎?如何申訴? 謝謝

--
",18,2017-08-17,-0.5013854536711789,13
1667,1667,10329,[問題] webatm 繳花旗卡費問題,/bbs/creditcard/M.1502983726.A.647.html,6,white8222, 8/17,"

辦了花旗信用卡也申請電子帳單
後來發現郵局無法線上劃撥
超過兩萬元也無法超商代繳

於是使用webatm，但似乎按錯流程
我使用的流程如下

進入webatm＞一般繳費＞轉入花旗銀行
＞輸入銷帳編號的部分我輸入信用卡卡號
＞輸入預繳金額＞轉出

請問各位大大這樣有繳款成功嗎？
如果沒有應該去找追回？



手機排版請見諒

--
",10,2017-08-17,0.26072742994723025,6
1672,1672,10334,[問題] 大衆網銀設定信用卡分期送500刷卡金,/bbs/creditcard/M.1503016147.A.BD2.html,4,cindy033, 8/18,"

大衆銀行信用卡設定消費分期滿6000元，
12期以上，送刷卡金500元
請問要怎麼算總共要付多少利息？
還有划不划算？

--
",6,2017-08-18,0.7359117847539475,4
